Code,OI/LO/KUSP
OI.1,Active Living: Physical activity embedded into daily living contributes to an individual’s health and well-being across a lifespan.
OI.1.GQ.1,What role does physical fitness play in an individual’s attitude toward regular physical activity?
OI.1.GQ.1.LO.1,Students investigate how physical fitness can support active living.
OI.1.GQ.1.LO.1.U.1,Commitment to regular physical activity can be influenced by physical fitness.
OI.1.GQ.1.LO.1.U.1.K.1,There is a cyclical relationship between physical fitness and a commitment to regular physical activity.
OI.1.GQ.1.LO.1.U.1.K.2,"Personal factors that can motivate individuals to engage in regular physical activity are
- improved physical fitness
- improved self-confidence
- increased enjoyment
- a sense of achievement"
OI.1.GQ.1.LO.1.U.1.K.3,An individual’s commitment to a physical activity routine can make physical activity feel easier and more enjoyable and reduce barriers such as fatigue or discomfort.
OI.1.GQ.1.LO.1.U.1.K.4,"Assessment of personal strengths, interests, challenges, and goals can improve motivation toward engaging in physical activities that foster physical fitness."
OI.1.GQ.1.LO.1.U.1.K.5,"Commitment to regular physical activity involves fostering a positive attitude by participating in various physical activities at school, with family, or in the community."
OI.1.GQ.1.LO.1.U.1.K.6,"Regular physical activity can help alleviate symptoms of mental health challenges, such as stress and anxiety, and contribute to an individual’s social skills and self-esteem."
OI.1.GQ.1.LO.1.U.1.K.7,"Health-related components of fitness include
- cardiorespiratory endurance
- muscular strength
- muscular endurance
- flexibility"
OI.1.GQ.1.LO.1.U.1.K.8,"Skill-related components of fitness include
- agility
- power
- reaction time
- speed
- coordination"
OI.1.GQ.1.LO.1.U.1.K.9,"Health-related and skill-related components of fitness can improve
- cardiovascular and musculoskeletal health
- metabolic function
- cognitive function
- sleep quality
- energy levels
- self-confidence and self-esteem
- mental well-being"
OI.1.GQ.1.LO.1.U.1.SP.1,Reflect on personal factors that influence commitment to regular physical activity.
OI.1.GQ.1.LO.1.U.1.SP.2,Explore health-related and skill-related components of fitness.
OI.1.GQ.1.LO.1.U.1.SP.3,"Reflect on personal strengths, interests, challenges, and goals as they relate to health-related and skill-related components of fitness."
OI.1.GQ.1.LO.1.U.1.SP.4,"Participate in a variety of physical activities at school, with family, or in the community."
OI.2,Movement Skill Development: Movement skill development is a foundational component of becoming a physically literate individual.
OI.2.GQ.2,How can feedback facilitate the development of movement patterns and skills?
OI.2.GQ.2.LO.2,Students refine movement patterns and skills in a variety of physical activities.
OI.2.GQ.2.LO.2.U.1,Individual mastery of movement patterns and skills can change through experiencing various physical activities and contexts.
OI.2.GQ.2.LO.2.U.1.K.1,Refinement of movement patterns and skills contributes to the pursuit of mastery and the ability to transition from one skill to another in various physical activity contexts.
OI.2.GQ.2.LO.2.U.1.K.2,"The ability to transition from one skill to another in various physical activity contexts, e.g., from receiving or catching an object to propelling or throwing the object, can affect performance and be improved through practice and refinement."
OI.2.GQ.2.LO.2.U.1.K.3,Refinement of movement patterns and skills can be enhanced through intrinsic and extrinsic feedback methods.
OI.2.GQ.2.LO.2.U.1.K.4,"Feedback methods in physical activity contexts can incorporate technology, such as video and wearable software applications."
OI.2.GQ.2.LO.2.U.1.K.5,Object locomotor skills facilitate locomotion while the human body manipulates a secondary source of movement.
OI.2.GQ.2.LO.2.U.1.K.6,"Object locomotor skills are used in activities such as
- cycling
- paddleboarding
- using a wheelchair"
OI.2.GQ.2.LO.2.U.1.K.7,"Factors that can affect transfer of movement patterns and skills include
- the complexity of the movement task
- variables in the physical environment, such as the proximity of an opposing player or the ability to track an object
- the current ability level of an individual"
OI.2.GQ.2.LO.2.U.1.K.8,"Physical fitness can involve rhythmic movement patterns that can improve coordination, creativity, and spontaneity."
OI.2.GQ.2.LO.2.U.1.K.9,"Rhythmic movement patterns can be transferred to other movement experiences, such as sliding to ice skating."
OI.2.GQ.2.LO.2.U.1.SP.1,Practise movement patterns and skills in various physical activity contexts.
OI.2.GQ.2.LO.2.U.1.SP.2,Relate the pursuit of mastery to refinement of movement patterns and skills.
OI.2.GQ.2.LO.2.U.1.SP.3,Apply feedback methods to improve movement patterns and skills.
OI.2.GQ.2.LO.2.U.1.SP.4,Explore the transfer of movement patterns and skills between various physical activities or movement experiences.
OI.2.GQ.2.LO.2.U.1.SP.5,"Relate rhythmic movements to coordination, creativity, and spontaneity."
OI.3,Movement Tactics and Strategies: Developing and applying creative-thinking and decision-making skills through movement is a feature of becoming a physically literate individual.
OI.3.GQ.3,How can incorporating game sense contribute to participation in games and physical activities?
OI.3.GQ.3.LO.3,Students apply game sense in a variety of games and physical activities.
OI.3.GQ.3.LO.3.U.1,Individual and group success in games and physical activities can be enhanced through game sense.
OI.3.GQ.3.LO.3.U.1.K.1,"Game sense is the ability to use tactical awareness, strategic knowledge, and an understanding of one’s current skill level to make real-time decisions within game play."
OI.3.GQ.3.LO.3.U.1.K.2,"Tactical awareness is the ability to identify challenges and to make decisions to address those challenges during games through
- anticipating object and player movement
- evaluating possible responses in positioning, timing, and strategies
- planning a response
- preparing for further responses
- transitioning between offensive and defensive tactics"
OI.3.GQ.3.LO.3.U.1.K.3,"Changing constraints in games or physical activities, including rules, play space, and number of players on a team, can affect the tactics and strategies being applied."
OI.3.GQ.3.LO.3.U.1.K.4,"Tactical awareness enables individuals to adapt tactics and strategies throughout a game or physical activity in response to factors such as
- score
- time remaining
- tactics and strategies of the opposition"
OI.3.GQ.3.LO.3.U.1.K.5,"Assessment and application of tactical awareness and strategic knowledge in games and physical activities involves an understanding of rules, structure, and terminology."
OI.3.GQ.3.LO.3.U.1.K.6,"Offensive tactics are used to gain an advantage against an opponent and include
- communication with teammates
- giving support to a ball carrier
- moving to open spaces
- moving to create space
- shot selection and placement
- reading game play and anticipating situations
- deception"
OI.3.GQ.3.LO.3.U.1.K.7,"Defensive tactics are used to protect an individual or team from an opponent and maintain control and include
- communication with teammates
- applying pressure on an opposing player
- defending space
- reading game play and anticipating situations
- recovering to base or ready position"
OI.3.GQ.3.LO.3.U.1.SP.1,Practise game sense during various games and physical activities.
OI.3.GQ.3.LO.3.U.1.SP.2,Apply tactics and strategies for various games and physical activities.
OI.3.GQ.3.LO.3.U.1.SP.3,Adapt tactics and strategies in response to changing constraints within a game or physical activity.
OI.3.GQ.3.LO.3.U.1.SP.4,Practise transitions between offensive and defensive tactics.
OI.4,Personal and Social Development: Developing personal and social skills through a variety of movement experiences contributes to meaningful participation in physical activity across a lifespan.
OI.4.GQ.4,How can safety and a sense of belonging contribute to participation in games and physical activities?
OI.4.GQ.4.LO.4,Students examine behaviours that promote safety and inclusion in relation to participation in games and physical activities.
OI.4.GQ.4.LO.4.U.1,Behaviours and processes that promote inclusion and safety in physical activities provide positive learning experiences for participants.
OI.4.GQ.4.LO.4.U.1.K.1,Social interactions and a sense of belonging can contribute to purposeful engagement and motivation to participate in physical activity.
OI.4.GQ.4.LO.4.U.1.K.2,"Individual behaviours that promote inclusion in physical activities include
- encouraging and advocating for others
- respecting and celebrating diversity
- demonstrating empathy"
OI.4.GQ.4.LO.4.U.1.K.3,"Group behaviours that promote inclusion in physical activities include
- establishing roles and responsibilities based on individual strengths, talents, and assets
- modifying rules to increase participation
- collaborating with others"
OI.4.GQ.4.LO.4.U.1.K.4,"Individual behaviours that promote safety in physical activities include
- respecting rules and guidelines
- demonstrating etiquette and sportsmanship
- using equipment properly
- assessing physical activity risks"
OI.4.GQ.4.LO.4.U.1.K.5,"Group behaviours that promote safety in physical activities include
- establishing and applying conflict-resolution strategies
- respecting rules and guidelines
- using equipment properly"
OI.4.GQ.4.LO.4.U.1.K.6,"Warming up and cooling down are routines used by individuals or groups for safe physical exertion, and have benefits that include
- increased flexibility and range of motion
- lower risk of injury
- increased blood flow and improved use of oxygen"